Algo,Test,TimeUsedMS,n,min,max,arg
bubble,descend,2.49,1047.0,-50.0,51.0,
bubble,descend,8.412,1773.0,-96.0,63.0,
bubble,descend,3923.707,33818.0,-27.0,57.0,
bubble,descend,553.245,12678.0,-7.0,69.0,
bubble,descend,103.643,5650.0,-57.0,37.0,
bubble,descend,7519.018,46723.0,-97.0,40.0,
bubble,descend,6799.698,44620.0,-69.0,4.0,
bubble,descend,3576.593,32270.0,-82.0,94.0,
bubble,descend,381.274,10617.0,-95.0,50.0,
bubble,descend,1.182,993.0,-44.0,9.0,
bubble,descend,490.802,12103.0,-27.0,82.0,
bubble,descend,6959.187,45058.0,-96.0,55.0,
bubble,descend,821.032,15558.0,-77.0,21.0,
bubble,descend,2004.524,24293.0,-43.0,55.0,
bubble,descend,106.84,5710.0,-30.0,88.0,
bubble,descend,1961.142,23950.0,-49.0,56.0,
bubble,descend,7948.307,47993.0,-97.0,62.0,
bubble,descend,551.75,12801.0,-19.0,73.0,
bubble,descend,2187.774,25264.0,-43.0,42.0,
bubble,descend,698.712,14319.0,-43.0,65.0,
bubble,descend,2.085,1126.0,-49.0,89.0,
bubble,descend,3750.471,33063.0,-51.0,21.0,
bubble,descend,165.355,7137.0,-36.0,29.0,
bubble,descend,678.42,14257.0,-26.0,55.0,
bubble,descend,873.006,16062.0,-65.0,37.0,
bubble,descend,4632.823,36857.0,-37.0,32.0,
bubble,descend,5141.466,38566.0,-88.0,97.0,
bubble,descend,610.465,13433.0,-61.0,26.0,
bubble,descend,2259.73,25659.0,-80.0,76.0,
bubble,descend,84.722,5224.0,-5.0,16.0,
bubble,descend,429.477,11224.0,-49.0,86.0,
bubble,descend,94.326,5339.0,-67.0,20.0,
bubble,descend,68.649,4501.0,-65.0,18.0,
bubble,descend,888.06,16189.0,-38.0,26.0,
bubble,descend,4809.096,37496.0,-39.0,17.0,
bubble,descend,1040.495,17515.0,-8.0,8.0,
bubble,descend,1904.521,23564.0,-60.0,25.0,
bubble,descend,1128.237,18114.0,-61.0,34.0,
bubble,descend,5633.342,40343.0,-64.0,28.0,
bubble,descend,490.279,12030.0,-24.0,81.0,
bubble,descend,1253.175,19169.0,-33.0,65.0,
bubble,descend,45.84,3795.0,-42.0,9.0,
bubble,descend,204.219,7888.0,-16.0,97.0,
bubble,descend,1248.457,19165.0,-93.0,99.0,
bubble,descend,8332.727,49256.0,-6.0,93.0,
bubble,descend,2313.003,25847.0,-10.0,49.0,
bubble,descend,1711.232,22102.0,-49.0,90.0,
bubble,descend,3900.138,33703.0,-89.0,29.0,
bubble,descend,5286.057,39064.0,-88.0,57.0,
bubble,descend,3879.197,33839.0,-4.0,47.0,
bubble,descend,291.841,9266.0,-4.0,64.0,
bubble,descend,1202.794,18796.0,-34.0,9.0,
bubble,descend,4952.527,37889.0,-67.0,48.0,
bubble,descend,8254.214,49337.0,-7.0,30.0,
bubble,descend,47.477,3934.0,-14.0,57.0,
bubble,descend,3005.095,29728.0,-33.0,52.0,
bubble,descend,4092.604,35374.0,-9.0,10.0,
bubble,descend,6174.22,42627.0,-28.0,22.0,
bubble,descend,1721.688,22350.0,-73.0,75.0,
bubble,descend,716.715,14509.0,-13.0,85.0,
bubble,descend,3679.478,32702.0,-83.0,78.0,
bubble,descend,4.754,1450.0,-70.0,100.0,
bubble,descend,4681.335,36928.0,-74.0,13.0,
bubble,descend,6177.813,42331.0,-66.0,7.0,
bubble,descend,1389.558,20191.0,-87.0,76.0,
bubble,descend,902.725,16319.0,-14.0,80.0,
bubble,descend,706.139,14304.0,-82.0,21.0,
bubble,descend,2391.741,26520.0,-42.0,73.0,
bubble,descend,5610.76,40344.0,-47.0,61.0,
bubble,descend,0.203,429.0,-97.0,14.0,
bubble,descend,6820.221,44607.0,-25.0,60.0,
bubble,descend,2657.617,27984.0,-26.0,22.0,
bubble,descend,1723.412,21525.0,-16.0,23.0,
bubble,descend,4767.444,36492.0,-83.0,69.0,
bubble,descend,2024.744,27901.0,-85.0,66.0,
bubble,descend,1220.758,21989.0,-41.0,70.0,
bubble,descend,4391.216,40549.0,-58.0,85.0,
bubble,descend,1526.295,20936.0,-16.0,1.0,
bubble,descend,110.026,6527.0,-21.0,47.0,
bubble,descend,7539.202,48728.0,-89.0,25.0,
bubble,descend,1311.069,19537.0,-69.0,83.0,
bubble,descend,4729.637,37285.0,-45.0,0.0,
bubble,descend,967.558,16739.0,-86.0,33.0,
bubble,descend,3272.001,30739.0,-30.0,63.0,
bubble,descend,157.442,6747.0,-37.0,21.0,
bubble,descend,1894.085,23479.0,-44.0,91.0,
bubble,descend,5081.555,38367.0,-69.0,8.0,
bubble,descend,67.678,4528.0,-84.0,47.0,
bubble,descend,2297.448,26021.0,-11.0,61.0,
bubble,descend,4631.008,36751.0,-40.0,24.0,
bubble,descend,1006.232,17181.0,-45.0,63.0,
bubble,descend,4053.542,34460.0,-16.0,65.0,
bubble,descend,7684.263,47224.0,-75.0,31.0,
bubble,descend,320.525,9690.0,-93.0,48.0,
bubble,descend,8.291,1813.0,-43.0,44.0,
bubble,descend,2285.993,25820.0,-84.0,6.0,
bubble,descend,2355.543,26032.0,-95.0,32.0,
bubble,descend,2394.044,26324.0,-83.0,32.0,
bubble,descend,631.691,13588.0,-8.0,76.0,
bubble,descend,5270.618,38762.0,-73.0,96.0,
bubble,normal,164.128,7811.0,-38.0,18.0,
bubble,normal,5177.608,43188.0,-25.0,13.0,
bubble,normal,845.731,17642.0,-51.0,88.0,
bubble,normal,4359.355,39657.0,-37.0,100.0,
